id	x	y	cluster	weight<Links>	weight<Total link strength>
1174	1.154	0.3942	1	4534	203.9369
1175	0.9092	0.3563	1	4534	309.3297
1176	-0.2091	0.0468	3	4534	97.2456
1177	-0.3532	-0.1476	2	4534	465.2858
1178	1.0037	-0.185	1	4534	355.5999
1179	-0.1827	0.1932	3	4534	219.5857
118	0.368	0.0649	5	4534	224.8678
1180	1.0165	-0.323	1	4534	340.7559
1181	-0.6691	-0.2127	2	4534	797.9664
1182	0.9323	0.2087	1	4534	206.8634
1183	0.9902	0.3152	1	4534	230.5185
1184	-0.5001	0.4709	4	4534	340.7942
1185	-0.9114	-0.0913	3	4534	483.6474
1186	-0.9327	0.2786	3	4534	405.0466
1187	0.6827	0.3553	1	4534	279.1102
1188	-0.7853	0.3489	3	4534	255.8702
1189	0.9501	-0.319	1	4534	250.9743
119	-0.9782	0.1412	3	4534	238.798
1190	-0.3258	0.5338	4	4534	108.9876
1191	-0.7503	-0.2721	2	4534	904.5904
1192	-0.2091	0.0394	5	4534	534.9346
1193	-1.0826	0.2694	3	4534	269.5619
1194	0.8416	0.1799	1	4534	247.1512
1195	0.1445	0.6236	4	4534	62.2751
1196	0.8894	-0.2127	1	4534	315.9945
1197	-0.6322	0.0605	3	4534	564.046
1198	0.5963	0.3734	1	4534	225.9467
1199	-0.5846	-0.1436	3	4534	400.6771
12	1.068	0.1809	1	4534	56.5889
120	-0.2581	-0.3095	2	4534	524.4606
1200	-0.8985	0.1033	3	4534	120.9471
1201	-0.1921	0.5668	4	4534	130.967
1202	-0.0855	-0.3829	2	4534	583.4872
1203	0.5304	0.3891	1	4534	150.9889
1204	-0.4575	0.4167	4	4534	273.9632
1205	0.4356	0.1255	5	4534	207.3917
1206	0.9647	0.1408	1	4534	176.3777
1207	-0.3266	-0.4917	2	4534	712.8568
1208	-0.7327	-0.2864	2	4534	928.593
1209	-0.6678	0.2215	3	4534	547.3708
121	-0.8492	0.186	3	4534	212.6984
1210	0.0389	0.4072	4	4534	230.6293
1211	-0.8091	-0.3851	2	4534	845.6006
1212	-0.7685	-0.0848	2	4534	484.8972
1213	1.2808	-0.2018	1	4534	317.1453
1214	-0.8907	0.1011	3	4534	253.0437
1215	-1.1444	0.1605	3	4534	271.8166
1216	-0.0358	0.412	4	4534	228.8199
1217	1.0752	-0.1262	1	4534	575.2841
1218	1.1883	0.4971	1	4534	128.289
1219	0.8126	-0.4699	1	4534	529.3012
122	1.0702	0.1068	1	4534	208.2842
1220	-0.2531	-0.3043	5	4534	320.2665
